window_id,activity,start_time,end_time,x_mean,x_std,x_var,x_min,x_max,x_range,x_rms,x_q25,x_q75,x_median,x_iqr,x_skew,x_kurtosis,x_energy,x_zcr,y_mean,y_std,y_var,y_min,y_max,y_range,y_rms,y_q25,y_q75,y_median,y_iqr,y_skew,y_kurtosis,y_energy,y_zcr,z_mean,z_std,z_var,z_min,z_max,z_range,z_rms,z_q25,z_q75,z_median,z_iqr,z_skew,z_kurtosis,z_energy,z_zcr,sma,smv,corr_xy,corr_xz,corr_yz,x_dom_freq,x_spectral_energy,x_spectral_centroid,x_spectral_rolloff,x_low_freq_energy,x_mid_freq_energy,x_high_freq_energy,x_spectral_entropy,y_dom_freq,y_spectral_energy,y_spectral_centroid,y_spectral_rolloff,y_low_freq_energy,y_mid_freq_energy,y_high_freq_energy,y_spectral_entropy,z_dom_freq,z_spectral_energy,z_spectral_centroid,z_spectral_rolloff,z_low_freq_energy,z_mid_freq_energy,z_high_freq_energy,z_spectral_entropy
0,standing,1761222046454365700,1761222048405161700,-0.5918075965642177,0.6483149261968987,0.4203122435296902,-1.3039500713348389,0.0010500000789761,1.305000071413815,0.8778089056741256,-1.3020000457763672,0.0,-0.0010500000789761,1.3020000457763672,-0.1825787435125037,-1.9666539885111671,76.2842990131998,0.2222222222222222,6.977592795786231,0.035257033694361534,0.0012430584249253443,6.951000213623047,7.030950546264648,0.07995033264160156,6.977681870236908,6.95205020904541,7.02750039100647,6.954000473022461,0.07545018196105957,0.7554842672722664,-1.4056915613137433,4820.116383941051,0.0,2.268984915030123,0.32224162714923027,0.10383966626778353,1.759950041770935,2.530050039291382,0.7700999975204468,2.2917530868097544,1.8000000715255737,2.5279500484466553,2.4880502223968506,0.7279499769210815,-0.7683057809331748,-1.19035863369786,519.9610888793018,0.0,9.838639852854262,7.395690814980946,0.4179306518764413,-0.7337691191501489,-0.8256201481790397,0.0,5491.4312546010715,3.8200303096336476,18.67300398141249,5402.166785498867,70.18071658032329,19.08375252188091,3.8648031667388465,0.0,477185.4288130285,0.054887248260167804,0.0,477185.2070500209,0.18095097255614093,0.04081203500701354,0.12847629532298194,0.0,50967.054482620006,1.12555935943249,8.074812532502698,50952.37750811971,11.441756345058263,3.2352181552416575,1.7121142183249278
1,standing,1761222047424620300,1761222049365750800,-0.3025045563476254,0.5498894220997332,0.30237837653717864,-1.3039500713348389,0.0010500000789761,1.305000071413815,0.6276044798663026,-0.0010500000789761,0.0,0.0,0.0010500000789761,-1.2676683385724106,-0.3930023454195468,38.99485093167698,0.30303030303030304,6.952989761275474,0.0014140941371994012,1.999662228861719e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.9529899050742054,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.045800486301111464,-1.2508142597771352,4786.062793386317,0.0,2.2437394652703797,0.2079039220666837,0.04322404081070969,2.0089499950408936,2.530050039291382,0.5211000442504883,2.253351022105193,2.047950029373169,2.4915000200271606,2.164950132369995,0.4435499906539917,0.29223814402302295,-1.5913971477049984,502.68149205342934,0.0,9.499551964735593,7.335143861545927,0.026897679633091212,-0.7519247570763353,0.0031030792319198123,0.0,2377.201189624705,4.578961082148994,19.177679764693906,2286.186480062054,73.56657336793874,17.448136194712877,4.303147274443501,0.0,473820.2067403228,0.008198682790293729,0.0,473820.1969877229,0.00279115409653858,0.006961445846663959,0.009316184963087237,0.0,49553.58434695526,0.8833462757881431,6.056109399377023,49546.237069748706,5.824883646926851,1.5223935596223712,1.3587782089558424
2,standing,1761222048405161700,1761222050346241000,1.0606061403798988e-05,0.0006589429099811732,4.3420575861445664e-07,-0.0010500000789761,0.0010500000789761,0.0021000001579522,0.0006590282597529166,0.0,0.0,0.0,0.0,-0.007422309251060617,-0.461299632204891,4.299750646814282e-05,0.3838383838383838,6.953030672940341,0.0014145316252554949,2.0008997188479518e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.953030816827215,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.018302247769198615,-1.2541481267515127,4786.119116435144,0.0,2.0215606581081045,0.05856308777583598,0.0034296352498402695,1.951050043106079,2.1660001277923584,0.2149500846862793,2.0224087444580316,1.972950100898743,2.047950029373169,2.01104998588562,0.07499992847442605,1.14554311852323,0.6686876969369759,404.9235758363709,0.0,8.975004967443194,7.24116676403326,0.8986308526006588,0.03945069956408139,0.0352419485974763,10.093515665628372,0.0021278342032866153,13.015069406647712,20.187031331256744,1.674964142316056e-05,0.0014932300491009786,0.0006178545127624757,4.7008932918330935,0.0,473825.78271792486,0.008261019928373154,0.0,473825.7729613499,0.0027637530644782607,0.006992821952587872,0.009286513164642702,0.0,40070.62019255035,0.45386905883106093,1.5140273498442558,40069.42376384088,0.9157552553482544,0.280673454116465,0.7350970730743382
3,standing,1761222049365750800,1761222051326735000,0.0,0.0006674238626724191,4.454546124645721e-07,-0.0010500000789761,0.0010500000789761,0.0021000001579522,0.0006674238626724191,0.0,0.0,0.0,0.0,0.0,-0.5249999999999999,4.410000663399264e-05,0.3939393939393939,6.9530003672898415,0.0014255263078861915,2.0321252544756364e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.953000513422815,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.04929983290153532,-1.266496724341081,4786.077397826135,0.0,1.9277652152861007,0.0731450279682865,0.0053501951164814125,1.798050045967102,2.013000011444092,0.21494996547698975,1.929152383919826,1.8395251035690308,1.972950100898743,1.9530000686645508,0.13342499732971214,-0.6617556708494113,-1.0473045877759792,368.4412631179712,0.0,8.881189825032095,7.215640662145532,0.903003666812389,-0.0035193980657689194,0.007306683108691419,10.093515665628372,0.0021829458620701843,14.237634841292254,20.69170711453816,3.028888618558979e-07,0.0015945298246390332,0.000588113148569295,4.283467084374811,0.0,473821.65242519055,0.008148618523302968,0.0,473821.6424768171,0.0030884546254631934,0.006859918858173024,0.008584507582597345,0.0,36449.4565498469,0.4664266286057725,1.5140273498442558,36448.259931782515,0.918811110276105,0.27780695410916784,0.7918800826110883
4,standing,1761222050346241000,1761222052307219200,0.0,0.0006674238626724191,4.4545461246457206e-07,-0.0010500000789761,0.0010500000789761,0.0021000001579522,0.0006674238626724191,0.0,0.0,0.0,0.0,0.0,-0.524999999999999,4.410000663399263e-05,0.40404040404040403,6.953020066925974,0.0014257352931575005,2.0327211261549035e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.953020213101382,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.014300216204765098,-1.2689956039124095,4786.104518295843,0.0,1.8035455340086812,0.09248803106992352,0.00855403589119114,1.6080000400543213,1.9549500942230225,0.34695005416870117,1.8059154269051056,1.7235000729560852,1.8395251035690308,1.8000000715255735,0.11602503061294556,0.18141859103815386,-0.7524428804899461,322.87172238425114,0.0,8.756989843390807,7.183681175396936,0.9028713039065903,-0.012989371702968523,-0.0042737028171529,10.093515665628372,0.0021829458620701843,14.237634841292257,20.69170711453816,3.028888618558979e-07,0.0015945298246390332,0.0005881131485692951,4.283467084374811,0.0,473824.3373490646,0.008135934722047277,0.0,473824.3273968729,0.0030941334047358483,0.0068580582448352,0.008560647090517997,0.0,31922.361365001678,0.7711216200877327,5.046757832814186,31918.86286375795,2.794169645548547,0.7043315981880052,1.1335404857153342
5,standing,1761222051326735000,1761222053287694300,-1.0606061403798988e-05,0.0006589429099811732,4.3420575861445664e-07,-0.0010500000789761,0.0010500000789761,0.0021000001579522,0.0006590282597529166,0.0,0.0,0.0,0.0,0.00742230925106063,-0.461299632204891,4.299750646814282e-05,0.40404040404040403,6.952989761275474,0.0014140941371994012,1.9996622288617187e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.9529899050742054,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.04580048630111148,-1.2508142597771346,4786.062793386317,0.0,1.671221283951191,0.07343477958706064,0.005392666853000177,1.6060501337051392,1.8019500970840456,0.19589996337890647,1.6728338969498637,1.6080000400543213,1.7235000729560852,1.609950065612793,0.11550003290176392,0.6350215702742168,-1.1084408166061899,277.03895143166227,0.0,8.624624681621414,7.151373122235323,0.8985645796859656,0.013593729424753356,0.011119178543649853,10.093515665628372,0.002127816400952307,13.38084392450358,21.701058681101,1.2516067769968126e-05,0.0015279591012626775,0.0005873412319196618,4.543163755209788,0.0,473820.20673057874,0.008170054269863614,0.0,473820.19698828866,0.002795631528589189,0.006946658642734368,0.008825166954845788,0.0,27400.420981408042,0.48442249306387075,1.5140273498442558,27399.400695549935,0.7955209742976416,0.22476488380962736,0.8260656090840247
6,standing,1761222052307219200,1761222054268225000,0.0,0.0006674238626724191,4.454546124645721e-07,-0.0010500000789761,0.0010500000789761,0.0021000001579522,0.0006674238626724191,0.0,0.0,0.0,0.0,0.0,-0.5249999999999999,4.410000663399264e-05,0.3939393939393939,6.953010973304209,0.0014290174148475776,2.042090771937654e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.953011120153593,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.030136238228924757,-1.2821765732470913,4786.092000060972,0.0,1.5876576491076537,0.033491106006137854,0.0011216541815143631,1.53000009059906,1.609950065612793,0.07994997501373291,1.588010851647921,1.5340501070022583,1.6090500354766846,1.606950044631958,0.07499992847442627,-1.0478415196018362,-0.8762970913394299,249.65606803020398,0.0,8.541092864868014,7.132046326753509,0.900797617848526,0.07344992539950297,0.0667129644773578,10.093515665628372,0.002178523617538457,14.646636048151832,22.710410247663837,6.17265783728529e-07,0.0015538966645154374,0.0006240096872392907,4.200123475418687,0.0,473823.097962604,0.008014771013808961,0.0,473823.08799310867,0.002816832811015408,0.007152662568605618,0.00788965658440369,0.0,24710.452163856404,0.2443314415780974,0.0,24710.20076494716,0.2042077379773224,0.047191171270037476,0.4641080201432193
7,standing,1761222053287694300,1761222055248709400,1.0606061403798988e-05,0.0006589429099811732,4.3420575861445664e-07,-0.0010500000789761,0.0010500000789761,0.0021000001579522,0.0006590282597529166,0.0,0.0,0.0,0.0,-0.007422309251060653,-0.461299632204891,4.299750646814282e-05,0.3838383838383838,6.953030672940341,0.0014145316252554949,2.0008997188479518e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.953030816827215,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.018302247769198615,-1.2541481267515127,4786.119116435144,0.0,1.543150089003823,0.036977024071928453,0.0013673003092159763,1.5109500885009766,1.609950065612793,0.0989999771118164,1.5435930478923916,1.5139501094818115,1.5340501070022583,1.5310500860214231,0.020099997520446777,1.052026528582045,-0.6214756549709577,235.88527025267058,0.0,8.496594398338912,7.122306414754929,0.8986308526006588,0.06231112512516373,0.052361114543807014,10.093515665628372,0.002127816400952307,13.38084392450358,21.701058681101,1.2516067769968133e-05,0.0015279591012626772,0.0005873412319196619,4.543163755209789,0.0,473825.7827051548,0.008165446452497381,0.0,473825.77295686514,0.0027908688688824735,0.006957420803786096,0.008795936656329988,0.0,23345.939626305953,0.28843903351073064,0.5046757832814186,23345.567834905134,0.3135562678176708,0.05823513299549535,0.5367277271413666
8,standing,1761222054268225000,1761222056229404200,0.0,0.0006674238626724191,4.454546124645721e-07,-0.0010500000789761,0.0010500000789761,0.0021000001579522,0.0006674238626724191,0.0,0.0,0.0,0.0,0.0,-0.5249999999999999,4.410000663399264e-05,0.3939393939393939,6.9530003672898415,0.0014255263078861915,2.0321252544756364e-06,6.951000213623047,6.955050468444824,0.004050254821777344,6.953000513422815,6.95205020904541,6.954000473022461,6.952950477600098,0.0019502639770507812,0.04929983290153532,-1.266496724341081,4786.077397826135,0.0,1.5166303979025946,0.007604508455277649,5.782854884638926e-05,1.5109500885009766,1.5340501070022583,0.02310001850128174,1.5166494625954372,1.5120000839233398,1.5150001049041748,1.5139501094818115,0.003000020980834961,1.483941098540913,0.4203722441396174,227.72233364671183,0.0,8.470055007648588,7.116490484159904,0.903003666812389,0.16926533994013118,0.17313140166390462,10.093515665628372,0.0021829458620701843,14.237634841292254,20.69170711453816,3.028888618558979e-07,0.0015945298246390332,0.000588113148569295,4.283467084374811,0.0,473821.65242519055,0.008148618523302968,0.0,473821.6424768171,0.0030884546254631934,0.006859918858173024,0.008584507582597345,0.0,22544.227354147042,0.09008386254700225,0.0,22544.20080754887,0.015777937186438388,0.010768660992089391,0.16458127712920476
9,walking,1761222775762543000,1761222777713850400,-1.2048470244526561,0.8661145851924086,0.750154474683018,-2.7199501991271973,0.0010500000789761,2.7210001992061734,1.4838500015215277,-1.9650000929832458,-0.0010500000789761,-1.2630000114440918,1.9639500929042697,0.2995182771150967,-1.2779780161172827,217.97927187452837,0.13131313131313133,7.0519503198488795,1.2111252250966946,1.466824310865519,5.344050407409668,9.808950424194336,4.464900016784668,7.155195848087055,6.224475383758545,7.527000427246094,6.778050422668457,1.3025250434875488,1.1132469795118702,0.38506126680511876,5068.4859348237405,0.0,1.4713925004212394,0.9726687747359812,0.9460845453463951,-0.7870500087738037,3.6979501247406006,4.485000133514404,1.7638255116768953,1.0344750881195068,2.0199750661849976,1.1869500875473022,0.9854999780654907,0.0056408257800501065,-0.1516344062040078,307.99696312858384,0.04040404040404041,9.775574695177827,7.417805594834197,0.02078160884963336,-0.281265196205442,0.11728174875348228,0.0,17903.37021832226,3.749874578026496,19.177679764693906,17660.140552423705,182.35723678513688,60.87242911341706,3.840053691366691,0.0,494587.6195285162,1.9481018077257135,12.616894582035465,493905.3524864451,582.4491684470775,99.81787362396675,2.255462622833757,0.0,25854.165068857998,3.429983757990275,17.158976631568233,25500.905073291357,303.52243325600006,49.737562310641565,3.7928142671328255
10,walking,1761222776733198600,1761222778694585000,-0.9635848938346361,0.764137460402722,0.5839060583907215,-2.0500500202178955,0.0010500000789761,2.0511000202968717,1.229797506102947,-1.7634750604629517,0.0,-1.0930500030517578,1.7634750604629517,0.14918347793671333,-1.4684323969592123,149.72778869568577,0.15151515151515152,7.098659414233583,1.2777583137060144,1.6326663082448376,5.227050304412842,9.808950424194336,4.581900119781494,7.212740934452861,5.946975231170654,7.7090253829956055,6.933000564575195,1.7620501518249512,0.8438883576581618,-0.051354802178794845,5150.339546965661,0.0,1.4763318987544438,0.84076772295197,0.7068903639578406,-0.7870500087738037,2.719050168991089,3.5061001777648926,1.6989544547273014,1.072950005531311,1.9914751052856445,1.1860500574111938,0.9185250997543335,-0.5058928919232254,0.10386538256043698,285.75817768453646,0.04040404040404041,9.585961057277716,7.4126443890066325,0.23206644549004599,-0.1770631109743074,-0.18960790520846718,0.0,11956.410791452625,4.140178720043222,19.682355547975327,11655.739031168308,233.94643894154152,66.72532134277665,4.033221998804228,0.0,501881.5546033365,2.0286551750151687,13.626246148598302,501111.80910029064,657.3549415098946,112.39056153596441,2.2965321903839877,0.0,24825.465578803247,3.52354822663337,17.158976631568233,24490.207623986393,290.80119162052466,44.45676319633301,3.7936647644240806
